"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"6","","0","Admin - 商品管理","0","0","","0"
"3","","0","货币切换","0","0","切换货币为英镑","0"
"3","","0","货币切换","0","0","切换货币为欧元","0"
"3","","0","结账模块","0","0","登录用户完整结账","0"
"3","","0","搜索模块","0","0","无效关键字搜索","0"
"6","","0","购物车模块","0","0","添加商品到购物车","0"
"3","","0","登录模块","0","0","登出","0"
"12","","0","优惠券","0","0","","0"
"6","","0","Admin - 订单管理","0","0","","0"
"3","","0","登录模块","0","0","有效账号登录","0"
"3","","0","购物车模块","0","0","移除购物车商品","0"
"3","","6","搜索模块","0","0","有效关键字搜索","0"
"3","","0","购物车模块","0","0","空购物车显示","0"
"3","","0","Admin - 登录","0","0","","0"
"9","","0","页面导航","0","0","顶部导航","0"
"1","","2","页面导航","0","0","首页加载","0"
"6","","0","Admin - 分类管理","0","0","","0"
"3","","0","登录模块","0","0","无效账号登录","0"
"1","","2","搜索模块","0","0","搜索结果进入商品详情","0"
"3","","0","购物车模块","0","0","修改购物车数量","0"
"1","","2","页面导航","0","0","搜索栏可见","0"
