"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","搜索商品 MacBook → 筛选后列表只含 MacBook","tests_admin","2026-07-17","broken","2026-07-17","TestAdminProducts","test_products","",""
"","30003","首页切到 GBP → 价格显示 £","tests","2026-07-17","broken","2026-07-17","TestCurrency","test_currency","",""
"","0","首页切到 Euro → 价格显示 €","tests","2026-07-17","broken","2026-07-17","TestCurrency","test_currency","",""
"登录用户：加购 MacBook → 购物车 → 配送 → 支付 → 下单","0","加购 → Flat Rate → COD → 下单成功","tests","2026-07-17","broken","2026-07-17","TestCheckout","test_checkout","",""
"搜索无效关键字 → 显示 'no product' 提示","0","搜索不存在的商品应提示无结果","tests","2026-07-17","broken","2026-07-17","TestSearch","test_search","",""
"搜索商品 → 添加至购物车 → 验证购物车非空","15229","搜索 Mac 并添加到购物车","tests","2026-07-17","broken","2026-07-17","TestCart","test_cart","",""
"登录后执行登出","0","登录后登出","tests","2026-07-17","broken","2026-07-17","TestLogin","test_login","",""
"","30004","首页切到 Euro → 价格显示 €","tests","2026-07-17","broken","2026-07-17","TestCurrency","test_currency","",""
"前台: 加购 → 购物车 → 输入 TEST10 → Apply","0","前台使用有效优惠券 → 价格更新","tests","2026-07-17","broken","2026-07-17","TestCoupon","test_coupon","",""
"","0","查看第一个订单详情（如有）","tests_admin","2026-07-17","broken","2026-07-17","TestAdminOrders","test_orders","",""
"","30002","首页切到 Euro → 价格显示 €","tests","2026-07-17","broken","2026-07-17","TestCurrency","test_currency","",""
"","0","首页切到 GBP → 价格显示 £","tests","2026-07-17","broken","2026-07-17","TestCurrency","test_currency","",""
"正例：demo / demo 登录成功","0","使用正确账号密码登录","tests","2026-07-17","broken","2026-07-17","TestLogin","test_login","",""
"后台: Marketing → Coupons 列表加载","15321","后台查看优惠券列表","tests","2026-07-17","broken","2026-07-17","TestCoupon","test_coupon","",""
"","0","商品列表加载 → 至少有一个商品","tests_admin","2026-07-17","broken","2026-07-17","TestAdminProducts","test_products","",""
"添加商品 → 清空购物车 → 验证为空","15170","添加多个商品后逐一清除","tests","2026-07-17","broken","2026-07-17","TestCart","test_cart","",""
"正例：demo / demo 登录成功","15296","使用正确账号密码登录","tests","2026-07-17","broken","2026-07-17","TestLogin","test_login","",""
"搜索几个常见关键字 — 结果数 > 0","5201","搜索 'Mac' 应返回相关商品","tests","2026-07-17","failed","2026-07-17","TestSearch","test_search","",""
"搜索几个常见关键字 — 结果数 > 0","5131","搜索 'Mac' 应返回相关商品","tests","2026-07-17","failed","2026-07-17","TestSearch","test_search","",""
"后台: Marketing → Coupons 列表加载","15300","后台查看优惠券列表","tests","2026-07-17","broken","2026-07-17","TestCoupon","test_coupon","",""
"搜索商品 → 添加至购物车 → 验证购物车非空","15173","搜索 Mac 并添加到购物车","tests","2026-07-17","broken","2026-07-17","TestCart","test_cart","",""
"","0","订单列表加载","tests_admin","2026-07-17","broken","2026-07-17","TestAdminOrders","test_orders","",""
"不添加商品，直接进入购物车 → 应显示空","361","未添加商品时购物车为空","tests","2026-07-17","broken","2026-07-17","TestCart","test_cart","",""
"","15220","后台登录成功 → 跳转 Dashboard","tests_admin","2026-07-17","broken","2026-07-17","TestAdminLogin","test_admin_login","",""
"搜索几个常见关键字 — 结果数 > 0","5205","搜索 'Mac' 应返回相关商品","tests","2026-07-17","failed","2026-07-17","TestSearch","test_search","",""
"","0","搜索商品 MacBook → 筛选后列表只含 MacBook","tests_admin","2026-07-17","broken","2026-07-17","TestAdminProducts","test_products","",""
"正例：demo / demo 登录成功","15218","使用正确账号密码登录","tests","2026-07-17","broken","2026-07-17","TestLogin","test_login","",""
"搜索几个常见关键字 — 结果数 > 0","0","搜索 'Mac' 应返回相关商品","tests","2026-07-17","broken","2026-07-17","TestSearch","test_search","",""
"点击顶部导航分类 → 页面跳转","30004","点击导航分类 'Desktops'","tests","2026-07-17","broken","2026-07-17","TestNavigation","test_navigation","",""
